trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.9996}",20,0,-207.89405537801392,"{0: 8, 1: 3, 2: 4, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.9992000000000001}",30,0,-183.665620403427,"{0: 17, 1: 2, 2: 7, 3: 2, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.9988000000000001}",20,0,-143.21659152973808,"{0: 8, 1: 5, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.9984000000000002}",20,0,-120.67752034717483,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.9980000000000002}",25,0,-160.9126174948122,"{0: 12, 1: 5, 2: 5, 3: 1, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.9976000000000003}",20,0,-114.89336431599239,"{0: 8, 1: 4, 2: 6, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.9972000000000003}",25,0,-84.2156643461602,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.5, 'e': 0.9968000000000004}",20,0,-50.46293992924255,"{0: 13, 1: 2, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.9964000000000004}",25,8,-123.37332745679441,"{0: 7, 1: 3, 2: 4, 3: 2, 4: 1}",1
10,False,"{'a': 0.5, 'e': 0.9960000000000004}",25,0,-105.83565502136342,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.9956000000000005}",25,0,-103.00497091297402,"{0: 15, 1: 4, 2: 4, 3: 1, 4: 1}",0
12,False,"{'a': 0.5, 'e': 0.9952000000000005}",20,0,-126.45226312667268,"{0: 9, 1: 3, 2: 6, 3: 1, 4: 1}",0
13,False,"{'a': 0.5, 'e': 0.9948000000000006}",30,4,-104.12507511929545,"{0: 16, 1: 2, 2: 7, 3: 0, 4: 1}",1
14,False,"{'a': 0.5, 'e': 0.9944000000000006}",25,0,-142.93100240543012,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
15,False,"{'a': 0.5, 'e': 0.9940000000000007}",20,0,-134.09114867933403,"{0: 13, 1: 0, 2: 3, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.9936000000000007}",35,0,-128.34545472207694,"{0: 22, 1: 4, 2: 7, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.9932000000000007}",25,0,-182.60877346749893,"{0: 12, 1: 5, 2: 5, 3: 0, 4: 3}",0
18,False,"{'a': 0.5, 'e': 0.9928000000000008}",30,0,-145.01947793816757,"{0: 15, 1: 3, 2: 11, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.9924000000000008}",25,10,-66.13040617185382,"{0: 9, 1: 1, 2: 4, 3: 0, 4: 1}",1
20,False,"{'a': 0.5, 'e': 0.9920000000000009}",30,0,-141.39325446048937,"{0: 16, 1: 6, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.9916000000000009}",20,0,-95.47444270191676,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
22,False,"{'a': 0.5, 'e': 0.991200000000001}",35,0,-198.3351701711047,"{0: 19, 1: 4, 2: 8, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.990800000000001}",30,0,-155.14994176897142,"{0: 16, 1: 4, 2: 7, 3: 2, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.9904000000000011}",25,0,-213.17707689523417,"{0: 15, 1: 1, 2: 4, 3: 1, 4: 4}",0
25,False,"{'a': 0.5, 'e': 0.9900000000000011}",25,9,-46.07568750379564,"{0: 9, 1: 4, 2: 2, 3: 1, 4: 0}",1
26,False,"{'a': 0.5, 'e': 0.9896000000000011}",25,0,-215.762782402099,"{0: 12, 1: 2, 2: 6, 3: 2, 4: 3}",0
27,False,"{'a': 0.5, 'e': 0.9892000000000012}",30,0,-193.26003500669665,"{0: 18, 1: 4, 2: 3, 3: 2, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.9888000000000012}",35,0,-171.1741993514904,"{0: 20, 1: 5, 2: 7, 3: 1, 4: 2}",0
29,False,"{'a': 0.5, 'e': 0.9884000000000013}",20,0,-155.6602594097779,"{0: 12, 1: 0, 2: 3, 3: 3, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.9880000000000013}",20,0,-137.0324245522046,"{0: 14, 1: 0, 2: 3, 3: 0, 4: 3}",0
31,False,"{'a': 0.5, 'e': 0.9876000000000014}",25,6,-117.63714678287425,"{0: 11, 1: 4, 2: 1, 3: 1, 4: 2}",1
32,False,"{'a': 0.5, 'e': 0.9872000000000014}",20,0,-154.44738080224678,"{0: 11, 1: 3, 2: 3, 3: 0, 4: 3}",0
33,False,"{'a': 0.5, 'e': 0.9868000000000015}",20,0,-87.03391109176141,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.9864000000000015}",20,0,-121.78743676083312,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
35,False,"{'a': 0.5, 'e': 0.9860000000000015}",30,0,-152.70607465721477,"{0: 17, 1: 3, 2: 6, 3: 3, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.9856000000000016}",25,0,-112.07025468321433,"{0: 14, 1: 6, 2: 2, 3: 2, 4: 1}",0
