trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.01, 'e': 0.999}",20,0,-135.1707139,"{0: 8, 1: 5, 2: 4, 3: 2, 4: 1}",0
2,FALSE,"{'a': 0.01, 'e': 0.998001}",25,0,-82.79757025,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
3,FALSE,"{'a': 0.01, 'e': 0.997002999}",25,0,-106.8473949,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
4,FALSE,"{'a': 0.01, 'e': 0.996005996001}",20,0,-45.70974492,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
5,FALSE,"{'a': 0.01, 'e': 0.995009990004999}",25,0,-163.7881722,"{0: 14, 1: 3, 2: 5, 3: 0, 4: 3}",0
6,FALSE,"{'a': 0.01, 'e': 0.994014980014994}",30,0,-190.2572539,"{0: 16, 1: 2, 2: 9, 3: 1, 4: 2}",0
7,FALSE,"{'a': 0.01, 'e': 0.993020965034979}",25,0,-109.6735735,"{0: 14, 1: 5, 2: 4, 3: 1, 4: 1}",0
8,FALSE,"{'a': 0.01, 'e': 0.992027944069944}",30,8,-61.55086926,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 0}",1
9,FALSE,"{'a': 0.01, 'e': 0.991035916125874}",25,0,-229.6651278,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
10,FALSE,"{'a': 0.01, 'e': 0.9900448802097482}",30,0,-167.6502249,"{0: 18, 1: 4, 2: 5, 3: 0, 4: 3}",0
11,FALSE,"{'a': 0.01, 'e': 0.9890548353295384}",20,0,-104.1668826,"{0: 14, 1: 2, 2: 1, 3: 1, 4: 2}",0
12,FALSE,"{'a': 0.01, 'e': 0.9880657804942089}",20,0,-137.7458252,"{0: 10, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,FALSE,"{'a': 0.01, 'e': 0.9870777147137147}",20,0,-82.17649701,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
14,FALSE,"{'a': 0.01, 'e': 0.986090636999001}",25,0,-101.8408664,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
15,FALSE,"{'a': 0.01, 'e': 0.985104546362002}",25,0,-191.8525679,"{0: 13, 1: 3, 2: 5, 3: 1, 4: 3}",0
16,FALSE,"{'a': 0.01, 'e': 0.9841194418156399}",25,0,-136.2274819,"{0: 12, 1: 3, 2: 9, 3: 0, 4: 1}",0
17,FALSE,"{'a': 0.01, 'e': 0.9831353223738244}",25,0,-149.3454834,"{0: 10, 1: 7, 2: 6, 3: 1, 4: 1}",0
18,FALSE,"{'a': 0.01, 'e': 0.9821521870514505}",20,0,-60.64682242,"{0: 13, 1: 2, 2: 4, 3: 1, 4: 0}",0
19,FALSE,"{'a': 0.01, 'e': 0.981170034864399}",20,0,-83.14611918,"{0: 11, 1: 1, 2: 7, 3: 1, 4: 0}",0
20,FALSE,"{'a': 0.01, 'e': 0.9801888648295347}",20,0,-112.4905896,"{0: 13, 1: 2, 2: 2, 3: 1, 4: 2}",0
21,FALSE,"{'a': 0.01, 'e': 0.9792086759647052}",25,13,-12.7088858,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
22,FALSE,"{'a': 0.01, 'e': 0.9782294672887404}",20,0,-163.9393673,"{0: 11, 1: 3, 2: 2, 3: 1, 4: 3}",0
23,FALSE,"{'a': 0.01, 'e': 0.9772512378214517}",25,7,-78.23028189,"{0: 11, 1: 2, 2: 4, 3: 0, 4: 1}",1
24,FALSE,"{'a': 0.01, 'e': 0.9762739865836302}",20,1,-45.88600404,"{0: 13, 1: 0, 2: 6, 3: 0, 4: 0}",1
25,FALSE,"{'a': 0.01, 'e': 0.9752977125970466}",35,0,-144.3527813,"{0: 24, 1: 3, 2: 5, 3: 1, 4: 2}",0
26,FALSE,"{'a': 0.01, 'e': 0.9743224148844496}",20,0,-105.8566106,"{0: 13, 1: 2, 2: 3, 3: 0, 4: 2}",0
27,FALSE,"{'a': 0.01, 'e': 0.9733480924695651}",30,0,-105.6829235,"{0: 21, 1: 4, 2: 3, 3: 0, 4: 2}",0
28,FALSE,"{'a': 0.01, 'e': 0.9723747443770956}",20,0,-54.90823132,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
29,FALSE,"{'a': 0.01, 'e': 0.9714023696327184}",30,18,-42.12350673,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 1}",1
30,FALSE,"{'a': 0.01, 'e': 0.9704309672630858}",25,0,-156.015869,"{0: 12, 1: 4, 2: 5, 3: 3, 4: 1}",0
31,FALSE,"{'a': 0.01, 'e': 0.9694605362958226}",25,0,-126.5730583,"{0: 12, 1: 4, 2: 8, 3: 0, 4: 1}",0
32,FALSE,"{'a': 0.01, 'e': 0.9684910757595269}",30,0,-176.8410913,"{0: 17, 1: 3, 2: 6, 3: 2, 4: 2}",0
33,FALSE,"{'a': 0.01, 'e': 0.9675225846837673}",30,0,-256.2234335,"{0: 15, 1: 3, 2: 6, 3: 2, 4: 4}",0
34,FALSE,"{'a': 0.01, 'e': 0.9665550620990835}",30,0,-194.217308,"{0: 16, 1: 4, 2: 7, 3: 0, 4: 3}",0
35,FALSE,"{'a': 0.01, 'e': 0.9655885070369844}",20,8,-79.10094092,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
36,FALSE,"{'a': 0.01, 'e': 0.9646229185299474}",20,0,-119.5428147,"{0: 11, 1: 4, 2: 1, 3: 3, 4: 1}",0
37,FALSE,"{'a': 0.01, 'e': 0.9636582956114175}",25,9,-5.129754374,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 0}",1
38,FALSE,"{'a': 0.01, 'e': 0.9626946373158061}",20,0,-79.82457611,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
39,FALSE,"{'a': 0.01, 'e': 0.9617319426784903}",20,0,-117.8474756,"{0: 12, 1: 0, 2: 5, 3: 2, 4: 1}",0
40,FALSE,"{'a': 0.01, 'e': 0.9607702107358118}",25,0,-70.7977874,"{0: 15, 1: 3, 2: 7, 3: 0, 4: 0}",0
41,FALSE,"{'a': 0.01, 'e': 0.959809440525076}",25,0,-196.4472363,"{0: 14, 1: 3, 2: 4, 3: 0, 4: 4}",0
42,FALSE,"{'a': 0.01, 'e': 0.9588496310845509}",20,0,-143.9361656,"{0: 9, 1: 4, 2: 5, 3: 0, 4: 2}",0
43,FALSE,"{'a': 0.01, 'e': 0.9578907814534663}",20,0,-147.1615893,"{0: 10, 1: 0, 2: 8, 3: 0, 4: 2}",0
44,FALSE,"{'a': 0.01, 'e': 0.9569328906720128}",20,0,-102.719178,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
45,FALSE,"{'a': 0.01, 'e': 0.9559759577813408}",30,0,-207.4606304,"{0: 14, 1: 3, 2: 9, 3: 2, 4: 2}",0
46,FALSE,"{'a': 0.01, 'e': 0.9550199818235595}",25,0,-178.6355199,"{0: 13, 1: 1, 2: 7, 3: 2, 4: 2}",0
47,FALSE,"{'a': 0.01, 'e': 0.954064961841736}",25,8,-61.2782558,"{0: 10, 1: 4, 2: 2, 3: 0, 4: 1}",1
48,FALSE,"{'a': 0.01, 'e': 0.9531108968798943}",30,0,-96.56243005,"{0: 22, 1: 2, 2: 3, 3: 2, 4: 1}",0
49,FALSE,"{'a': 0.01, 'e': 0.9521577859830144}",25,0,-101.1390128,"{0: 15, 1: 3, 2: 6, 3: 0, 4: 1}",0
50,FALSE,"{'a': 0.01, 'e': 0.9512056281970314}",20,2,-33.37848188,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 0}",1
51,FALSE,"{'a': 0.01, 'e': 0.9502544225688343}",20,0,-99.35065946,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
52,FALSE,"{'a': 0.01, 'e': 0.9493041681462654}",30,0,-171.6126898,"{0: 17, 1: 1, 2: 8, 3: 3, 4: 1}",0
53,FALSE,"{'a': 0.01, 'e': 0.9483548639781192}",25,0,-108.4109083,"{0: 16, 1: 1, 2: 6, 3: 1, 4: 1}",0
54,FALSE,"{'a': 0.01, 'e': 0.947406509114141}",20,9,-15.72955594,"{0: 8, 1: 0, 2: 3, 3: 0, 4: 0}",1
55,FALSE,"{'a': 0.01, 'e': 0.9464591026050269}",20,4,-69.74983609,"{0: 9, 1: 0, 2: 6, 3: 1, 4: 0}",1
56,FALSE,"{'a': 0.01, 'e': 0.9455126435024219}",20,0,-63.71049347,"{0: 10, 1: 7, 2: 2, 3: 1, 4: 0}",0
57,FALSE,"{'a': 0.01, 'e': 0.9445671308589194}",30,0,-163.9068682,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
58,FALSE,"{'a': 0.01, 'e': 0.9436225637280605}",25,0,-151.7688973,"{0: 15, 1: 3, 2: 4, 3: 0, 4: 3}",0
59,FALSE,"{'a': 0.01, 'e': 0.9426789411643325}",30,0,-258.7651291,"{0: 14, 1: 4, 2: 7, 3: 1, 4: 4}",0
60,FALSE,"{'a': 0.01, 'e': 0.9417362622231682}",30,11,-98.10671184,"{0: 11, 1: 4, 2: 2, 3: 0, 4: 2}",1
61,FALSE,"{'a': 0.01, 'e': 0.9407945259609449}",25,0,-126.5934171,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
62,FALSE,"{'a': 0.01, 'e': 0.9398537314349841}",30,0,-226.1322965,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 5}",0
63,FALSE,"{'a': 0.01, 'e': 0.9389138777035491}",20,8,-37.86477747,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 1}",1
64,FALSE,"{'a': 0.01, 'e': 0.9379749638258456}",20,0,-82.58309514,"{0: 15, 1: 0, 2: 2, 3: 2, 4: 1}",0
65,FALSE,"{'a': 0.01, 'e': 0.9370369888620197}",25,0,-193.6896179,"{0: 13, 1: 2, 2: 6, 3: 1, 4: 3}",0
66,FALSE,"{'a': 0.01, 'e': 0.9360999518731576}",35,0,-214.1674691,"{0: 22, 1: 5, 2: 3, 3: 1, 4: 4}",0
67,FALSE,"{'a': 0.01, 'e': 0.9351638519212845}",25,0,-88.94487959,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
68,FALSE,"{'a': 0.01, 'e': 0.9342286880693632}",20,0,-27.54995508,"{0: 18, 1: 1, 2: 0, 3: 0, 4: 1}",0
69,FALSE,"{'a': 0.01, 'e': 0.9332944593812939}",30,0,-131.0968534,"{0: 19, 1: 3, 2: 6, 3: 0, 4: 2}",0
70,FALSE,"{'a': 0.01, 'e': 0.9323611649219126}",30,7,-220.358332,"{0: 9, 1: 3, 2: 6, 3: 2, 4: 3}",1
71,FALSE,"{'a': 0.01, 'e': 0.9314288037569907}",20,0,-56.65598404,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
72,FALSE,"{'a': 0.01, 'e': 0.9304973749532336}",20,3,-47.81658338,"{0: 11, 1: 2, 2: 3, 3: 1, 4: 0}",1
73,FALSE,"{'a': 0.01, 'e': 0.9295668775782804}",20,0,-38.27049676,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
