trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",20,0,-88.46510231317815,"{0: 12, 1: 2, 2: 3, 3: 3, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-125.60203950985861,"{0: 12, 1: 5, 2: 7, 3: 0, 4: 1}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",20,0,-33.16624378818873,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-153.43833589099475,"{0: 8, 1: 4, 2: 6, 3: 0, 4: 2}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",30,0,-109.4039023560762,"{0: 18, 1: 4, 2: 5, 3: 3, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-98.76625254623784,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-138.92456167269745,"{0: 13, 1: 2, 2: 2, 3: 0, 4: 3}",0
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,0,-50.98826573112905,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 0}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",20,0,-109.15895994460405,"{0: 13, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-180.0128212263467,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,0,-247.20637457778457,"{0: 12, 1: 3, 2: 12, 3: 0, 4: 3}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-68.96001834783692,"{0: 16, 1: 2, 2: 0, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-85.79923185468998,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",20,0,-85.73765956508805,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-72.78349855155184,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-146.27100650089872,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,0,-103.89128861615315,"{0: 12, 1: 1, 2: 5, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",30,0,-172.70338204647152,"{0: 19, 1: 1, 2: 7, 3: 0, 4: 3}",0
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",30,0,-60.92050484789421,"{0: 23, 1: 3, 2: 3, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",30,0,-91.96492055138359,"{0: 22, 1: 3, 2: 2, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': -0.05000000000000032}",30,0,-145.93281215427677,"{0: 17, 1: 4, 2: 7, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': -0.10000000000000032}",20,0,-57.30246649596302,"{0: 13, 1: 5, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0.5, 'e': -0.15000000000000033}",25,0,-177.9975478275069,"{0: 14, 1: 4, 2: 3, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': -0.20000000000000034}",25,0,-190.47365751640686,"{0: 13, 1: 1, 2: 8, 3: 0, 4: 3}",0
5,True,"{'a': 0.5, 'e': -0.25000000000000033}",25,0,-31.15842323079103,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
6,True,"{'a': 0.5, 'e': -0.3000000000000003}",30,0,-192.67149752575267,"{0: 16, 1: 6, 2: 4, 3: 1, 4: 3}",0
7,True,"{'a': 0.5, 'e': -0.3500000000000003}",20,13,4.301296394356507,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0.5, 'e': -0.4000000000000003}",25,0,-246.71587041330085,"{0: 12, 1: 5, 2: 2, 3: 1, 4: 5}",0
9,True,"{'a': 0.5, 'e': -0.4500000000000003}",30,0,-134.01437516993545,"{0: 19, 1: 4, 2: 5, 3: 0, 4: 2}",0
10,True,"{'a': 0.5, 'e': -0.5000000000000003}",20,0,-126.16430307131135,"{0: 11, 1: 1, 2: 6, 3: 0, 4: 2}",0
